Market,audience,Campaign,Clicks,Cost,Impressions,fees
AUS,Retention,Facebook,189,60.69,554,67.2559
AUS,Oldies,Facebook,107,47.97,3540,53.1367
AUS,Children,Facebook,3090,1275.3,40505,1415.473
AUS,Adults,Facebook,492,347.51,8383,385.6261
AUS,Retention,Facebook,123,137.88,1584,152.9368
AUS,Oldies,Facebook,12781,2596.57,1454608,2882.0827
AUS,Children,Facebook,7265,1264.86,609502,1403.8846
AUS,Adults,Facebook,3912,642.26,254433,712.7986
AUS,Retention,Facebook,1,1,99,1
AUS,Oldies,Facebook,6744,4148.3,673304,4604.503
AUS,Children,Google,522,409.94,27815,454.9234
AUS,Adults,Google,4387,3612.82,306590,4010.1202
AUS,Retention,Google,342,308.33,28263,342.1363
RSA,Oldies,Google,208,6.18,317,6.7498
RSA,Children,Google,117,5.7,160,6.217
RSA,Retention,Google,31,2.64,38,2.8204
RSA,Oldies,Google,40,5.71,172,6.2281
RSA,Children,Google,12,2.57,56,2.7427
RSA,Adults,Google,6,1.96,22,2.0656
RSA,Retention,Google,1,1,4,1
RSA,Oldies,Google,418,225.93,41409,250.6723
RSA,Children,Google,45,18.71,3124,20.6581
RSA,Adults,Google,16,8.54,1591,9.3694
RSA,Retention,Google,4,3.36,178,3.6196
NZ,Oldies,Google,712,12,998,13.21
NZ,Children,Google,927,25.06,1236,27.7066
NZ,Retention,Google,249,9.28,287,10.1908
NZ,Oldies,Google,270,42.1,708,46.621
NZ,Children,Google,65,10.09,214,11.0899
NZ,Adults,Google,48,7.26,104,7.9486
NZ,Retention,Google,3,2.16,3,2.2876
NZ,Oldies,Google,66,27.45,2279,30.3595
NZ,Children,Google,148,73.11,3354,81.0421
NZ,Adults,YouTube,41,44.92,499,49.7512
NZ,Retention,YouTube,13,16.91,109,18.6601
NZ,Oldies,YouTube,3853,1686.2,500543,1871.572
NZ,Children,YouTube,168,130.24,11003,144.4564
NZ,Adults,YouTube,84,60.65,7506,67.2115
NZ,Retention,YouTube,21,15.15,1279,16.7065
ARG,Oldies,YouTube,1137,46.77,1737,51.8047
ARG,Children,YouTube,488,30.65,715,33.9115
ARG,Adults,YouTube,890,47.95,1292,53.1145
ARG,Retention,YouTube,122,7.48,161,8.1928
ARG,Oldies,YouTube,590,133.71,1543,148.3081
ARG,Children,YouTube,241,65.81,781,72.9391
ARG,Adults,YouTube,279,85.06,558,94.3066
ARG,Retention,YouTube,34,7.84,63,8.5924
ARG,Oldies,YouTube,357,176.4,6774,195.694
ARG,Children,YouTube,1038,2997.13,15416,3326.7043
ARG,Oldies,YouTube,923,478.47,90554,530.9917
ARG,Children,YouTube,22,13.29,1749,14.6419
