country,user,ordernum,orderstatus,date_ordered,channel
UK,522b4,f4f23,finished,"2019-05-15 00:00:00",social
UK,5c46c,4d754,finished,"2019-02-06 00:00:00",google
UK,66d60,46101,finished,"2019-05-13 00:00:00",google
UK,6e0f4,911b8,finished,"2019-01-12 00:00:00",google
UK,7635a,a0128,finished,"2019-03-22 00:00:00",direct
UK,8137c,d78a2,finished,"2019-03-26 00:00:00",direct
UK,8137c,eb300,finished,"2019-04-02 00:00:00",others
USA,8a4ce,8350b,finished,"2019-03-17 00:00:00",direct
UK,b0711,492d3,finished,"2019-01-07 00:00:00",google
UK,b1ea6,b3658,finished,"2019-05-03 00:00:00",direct
UK,b2867,1a4b4,finished,"2019-03-07 00:00:00",others
UK,b2867,3f7f1,finished,"2019-03-07 00:00:00",others
UK,ca6a4,2b294,finished,"2019-05-16 00:00:00",social
UK,d64f0,dfbdb,finished,"2019-05-16 00:00:00",google
UK,d9441,eec4c,finished,"2019-04-06 00:00:00",others
UK,d9441,d0740,finished,"2019-04-08 00:00:00",direct
UK,1e33d,9ab13,finished,"2019-02-21 00:00:00",others
UK,2ab4b,a4e59,finished,"2019-01-20 00:00:00",social
UK,2ecfb,f591f,finished,"2019-05-11 00:00:00",google
UK,4684f,73ca2,finished,"2019-01-22 00:00:00",google
UK,65474,9cf89,finished,"2019-01-15 00:00:00",google
UK,65474,6eae1,finished,"2019-01-15 00:00:00",google
UK,799a0,75479,finished,"2019-05-13 00:00:00",social
UK,8b508,6897d,finished,"2019-01-21 00:00:00",google
UK,8daf3,d6e16,finished,"2019-04-16 00:00:00",social
UK,b76a0,7e265,finished,"2019-04-21 00:00:00",direct
UK,b7ab4,62985,finished,"2019-02-01 00:00:00",direct
UK,b7ab4,986e5,finished,"2019-04-29 00:00:00",others
UK,b92f4,56d06,finished,"2019-03-05 00:00:00",direct
UK,b92f4,2fabf,finished,"2019-04-12 00:00:00",social
USA,c20ba,d171f,cancelled,"2019-04-23 00:00:00",social
UK,cce08,3f367,finished,"2019-04-20 00:00:00",social
UK,cf122,18b29,finished,"2019-04-28 00:00:00",google
UK,f94ec,df4f3,finished,"2019-03-16 00:00:00",others
UK,039fa,4207f,finished,"2019-01-21 00:00:00",google
UK,039fa,e13b0,finished,"2019-02-09 00:00:00",others
UK,15270,be994,finished,"2019-01-17 00:00:00",others
UK,1e01f,2582b,finished,"2019-01-22 00:00:00",direct
UK,236f6,690ac,finished,"2019-03-18 00:00:00",direct
UK,2691c,70e61,finished,"2019-03-12 00:00:00",direct
UK,2691c,a1378,finished,"2019-03-13 00:00:00",direct
UK,3013d,6df5c,cancelled,"2019-03-01 00:00:00",direct
UK,30fd5,71dcb,finished,"2019-05-06 00:00:00",google
UK,31df6,d74d3,finished,"2019-03-17 00:00:00",direct
UK,43fe6,61c20,finished,"2019-04-28 00:00:00",google
USA,53ca9,aa329,cancelled,"2019-04-20 00:00:00",others
USA,53ca9,5c185,finished,"2019-04-27 00:00:00",others
UK,6164a,f26bc,cancelled,"2019-03-23 00:00:00",others
UK,703a9,88002,finished,"2019-01-20 00:00:00",others
UK,703a9,7b4cb,finished,"2019-05-13 00:00:00",google
UK,70fee,ab202,finished,"2019-04-02 00:00:00",direct
UK,70fee,cca5a,finished,"2019-04-15 00:00:00",social
UK,76e02,44b3d,finished,"2019-05-03 00:00:00",social
UK,832a9,214df,finished,"2019-05-01 00:00:00",google
UK,a495b,ddf6d,finished,"2019-04-23 00:00:00",social
UK,c6fdc,1c3b7,cancelled,"2019-04-12 00:00:00",google
UK,d0fd5,88a90,finished,"2019-04-22 00:00:00",social
UK,dc6a5,de736,finished,"2019-01-22 00:00:00",direct
UK,ddad3,8e405,finished,"2019-04-13 00:00:00",google
UK,e08bd,ce3f3,finished,"2018-12-08 00:00:00",others
UK,f681c,47a33,finished,"2019-03-23 00:00:00",direct
UK,09296,ac77a,finished,"2019-04-06 00:00:00",google
UK,1bbea,0bebe,finished,"2019-05-15 00:00:00",google
UK,22ed8,ae5bb,cancelled,"2019-04-29 00:00:00",direct
UK,7d47f,695b9,finished,"2019-01-22 00:00:00",google
UK,8481a,f5941,finished,"2019-01-25 00:00:00",google
UK,90ceb,6a89a,cancelled,"2019-05-14 00:00:00",others
UK,93066,e0b88,finished,"2019-04-08 00:00:00",direct
UK,b64ce,b3396,finished,"2019-04-29 00:00:00",google
UK,c239e,4d3cf,finished,"2019-04-08 00:00:00",google
UK,c239e,0d47a,finished,"2019-04-10 00:00:00",google
UK,c239e,f4146,finished,"2019-05-11 00:00:00",direct
UK,d759b,55b30,finished,"2019-04-29 00:00:00",direct
UK,ecd58,0d7e9,finished,"2019-03-25 00:00:00",direct
UK,00918,99c47,finished,"2019-04-30 00:00:00",others
UK,124ab,ad758,finished,"2019-04-03 00:00:00",social
UK,38c73,c4923,finished,"2019-02-21 00:00:00",direct
UK,49686,614f9,cancelled,"2019-04-12 00:00:00",others
UK,521e7,fc4e3,finished,"2018-12-04 00:00:00",direct
UK,521e7,5efe1,finished,"2018-12-11 00:00:00",direct
UK,521e7,2e6c8,finished,"2018-12-26 00:00:00",google
UK,80ded,16338,finished,"2019-04-11 00:00:00",social
UK,8c1e8,fefc6,finished,"2019-01-22 00:00:00",others
UK,8c1e8,a48d7,finished,"2019-02-04 00:00:00",direct
UK,a0dcc,e1d0b,finished,"2019-02-01 00:00:00",direct
UK,a0dcc,51fcf,finished,"2019-02-22 00:00:00",direct
USA,bca52,892f2,finished,"2019-05-09 00:00:00",direct
UK,bf2a6,8930c,cancelled,"2019-04-28 00:00:00",google
UK,ca10d,13c1e,finished,"2019-04-22 00:00:00",social
UK,ca10d,06e3f,finished,"2019-05-12 00:00:00",social
UK,e2fdd,17c89,cancelled,"2019-01-11 00:00:00",google
UK,e4374,abfd9,finished,"2019-03-16 00:00:00",direct
UK,ec946,414d8,finished,"2019-02-16 00:00:00",direct
UK,ef0cb,bbb3c,finished,"2019-01-09 00:00:00",others
UK,ef0cb,364bc,finished,"2019-03-22 00:00:00",social
UK,ef69a,a2593,finished,"2019-04-29 00:00:00",direct
UK,ef69a,3107c,finished,"2019-04-29 00:00:00",social
UK,f3ba0,a1a65,finished,"2019-05-14 00:00:00",others
